online_order,book_table,votes,location,rest_type,cuisines,Cost2plates,Type,Is_Success
Yes,No,45,Jayanagar,Quick Bites,Biryani,200.0,Delivery,0
Yes,No,7,Banashankari,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Yes,No,28,Banashankari,Quick Bites,Fast Food,150.0,Delivery,1
Yes,No,24,Banashankari,Casual Dining,"North Indian, Chinese",600.0,Delivery,0
Yes,No,36,Basavanagudi,Dessert Parlor,others,200.0,Delivery,1
Yes,No,11,Jayanagar,Quick Bites,Fast Food,200.0,Delivery,0
Yes,No,77,others,Cafe,others,650.0,Delivery,1
Yes,No,8,Banashankari,Sweet Shop,"Mithai, Street Food",100.0,Delivery,0
Yes,No,14,Jayanagar,Quick Bites,South Indian,100.0,Delivery,0
Yes,No,210,others,Casual Dining,others,600.0,Delivery,1
Yes,No,130,Jayanagar,Cafe,others,650.0,Delivery,1
Yes,No,30,Jayanagar,Beverage Shop,others,100.0,Delivery,1
Yes,No,144,Banashankari,Cafe,others,700.0,Delivery,1
Yes,No,11,Basavanagudi,Bar,others,800.0,Delivery,0
Yes,No,133,Jayanagar,Casual Dining,others,700.0,Delivery,0
Yes,No,136,Jayanagar,Quick Bites,others,350.0,Delivery,1
Yes,No,4,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",200.0,Delivery,0
Yes,No,11,Basavanagudi,"Sweet Shop, Quick Bites",others,200.0,Delivery,0
Yes,No,74,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,1
Yes,No,30,Basavanagudi,Quick Bites,others,300.0,Delivery,0
Yes,No,7,Basavanagudi,Quick Bites,others,200.0,Delivery,0
Yes,No,75,Banashankari,"Cafe, Quick Bites",others,200.0,Delivery,1
Yes,No,54,Basavanagudi,Cafe,others,600.0,Delivery,0
Yes,No,23,Basavanagudi,Kiosk,others,100.0,Delivery,0
Yes,No,119,Banashankari,Casual Dining,"North Indian, Chinese",400.0,Delivery,0
Yes,No,73,Banashankari,Quick Bites,others,400.0,Delivery,0
Yes,No,58,Basavanagudi,Cafe,"Cafe, Fast Food",400.0,Delivery,0
Yes,No,129,Banashankari,Casual Dining,others,600.0,Delivery,0
Yes,No,24,Banashankari,Quick Bites,others,250.0,Delivery,0
Yes,No,175,others,Quick Bites,"Chinese, North Indian",400.0,Delivery,0
Yes,No,21,others,Quick Bites,South Indian,300.0,Delivery,0
Yes,No,41,others,others,others,400.0,Delivery,0
Yes,No,35,Jayanagar,Quick Bites,others,300.0,Delivery,0
Yes,No,176,Basavanagudi,Casual Dining,others,800.0,Delivery,1
Yes,No,45,Banashankari,Beverage Shop,others,300.0,Delivery,0
Yes,No,47,Jayanagar,others,others,400.0,Delivery,0
Yes,Yes,36,Jayanagar,Casual Dining,others,650.0,Delivery,0
Yes,No,52,others,"Beverage Shop, Quick Bites","Beverages, Fast Food",400.0,Delivery,1
Yes,No,123,Banashankari,Quick Bites,Fast Food,200.0,Delivery,0
Yes,No,59,others,Casual Dining,North Indian,700.0,Delivery,0
Yes,No,4,others,Quick Bites,"South Indian, Biryani",300.0,Delivery,0
Yes,No,101,Banashankari,Quick Bites,others,400.0,Delivery,1
Yes,No,54,Banashankari,others,others,400.0,Delivery,0
Yes,No,0,Banashankari,Quick Bites,South Indian,200.0,Delivery,1
Yes,No,22,Basavanagudi,Quick Bites,Fast Food,200.0,Delivery,0
Yes,No,31,Banashankari,Takeaway,others,250.0,Delivery,0
Yes,No,29,others,Cafe,others,500.0,Delivery,0
Yes,No,6,Jayanagar,Beverage Shop,Beverages,100.0,Delivery,0
Yes,No,22,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery,0
Yes,No,11,Banashankari,Quick Bites,North Indian,500.0,Delivery,0
Yes,No,101,Basavanagudi,Quick Bites,South Indian,150.0,Delivery,1
Yes,Yes,442,Jayanagar,"Pub, Casual Dining",others,1200.0,Delivery,1
Yes,No,155,Basavanagudi,Quick Bites,others,400.0,Delivery,0
Yes,No,12,Banashankari,"Beverage Shop, Quick Bites",others,150.0,Delivery,0
Yes,No,15,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,0
Yes,No,10,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,0
Yes,No,25,Banashankari,Quick Bites,South Indian,300.0,Delivery,1
Yes,No,61,Banashankari,Quick Bites,"North Indian, Chinese",300.0,Delivery,1
